id,method,is_correct,pred_answer,gold_answer,wall_time_s,output_tokens,internal_generated_tokens,accept_rate,num_steps,seed,alpha,B,N_mcmc,T_max,model_name
1,power_mcmc,1,3/4,3/4,62.57941499700246,243,1117,1.0,10,42,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
2,power_mcmc,1,4,4,87.39164401599555,216,1489,0.8,10,43,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
3,power_mcmc,1,24,24,70.08006695999939,175,1195,0.7,10,44,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
4,power_mcmc,1,25,25,2.79882896199706,130,130,0.0,0,45,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
5,power_mcmc,1,30,30,4.17076512100175,192,192,0.0,0,46,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
6,power_mcmc,1,15,15,100.648393098003,216,1646,0.6,20,47,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
7,power_mcmc,1,3/4,3/4,3.604294311007834,167,167,0.0,0,48,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
8,power_mcmc,1,28,28,76.00811669699033,297,1348,0.5,10,49,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
9,power_mcmc,0,9,12,56.804587762002484,155,983,0.8,10,50,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
10,power_mcmc,1,25,25,3.881422844991903,180,180,0.0,0,51,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
11,power_mcmc,1,12,12,2.953776224007015,136,136,0.0,0,52,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
12,power_mcmc,1,23,23,74.85536815699015,228,1285,0.9,10,53,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
13,power_mcmc,1,12,12,58.83290415399824,253,1058,0.8,10,54,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
14,power_mcmc,1,3/4,3/4,59.81498476599518,297,1103,0.9,10,55,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
15,power_mcmc,1,32,32,3.827794750002795,178,178,0.0,0,56,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
16,power_mcmc,0,9,9π,53.327001092009596,103,911,0.5,10,57,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
17,power_mcmc,1,3,3,72.84790066999267,211,1253,0.7,10,58,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
18,power_mcmc,0,median,7,38.710958509997,168,704,0.9,10,59,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
19,power_mcmc,1,1/2,1/2,82.42950631900749,337,1470,0.7,10,60,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
20,power_mcmc,1,12,12,62.51173764100531,234,1104,0.9,10,61,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
21,power_mcmc,1,5,5,52.64638305900735,257,961,0.9,10,62,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
22,power_mcmc,1,x^5,x^5,3.7089075629919535,172,172,0.0,0,63,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
23,power_mcmc,1,20,20,2.885614856000757,133,133,0.0,0,64,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
24,power_mcmc,1,90,90,63.42304254499322,137,1069,0.5,10,65,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
25,power_mcmc,1,9,9,3.2290393500006758,150,150,0.0,0,66,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
26,power_mcmc,1,13,13,82.0636145049939,228,1389,0.3,10,67,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
27,power_mcmc,1,27,27,2.8769945569947595,135,135,0.0,0,68,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
28,power_mcmc,1,7,7,25.64677862499957,61,474,0.6,10,69,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
29,power_mcmc,1,0.40,0.4,69.67446706499322,273,1219,0.6,10,70,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
30,power_mcmc,1,5,5,2.785206317988923,128,128,0.0,0,71,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
31,power_mcmc,1,3,3,71.87215334300708,308,1296,0.8,10,72,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
32,power_mcmc,1,x^4,x^4,2.8558157680090517,134,134,0.0,0,73,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
33,power_mcmc,0,sum of the angles in the original triangle is 90 degrees + 90 degrees = 180 degrees,180,67.10866557600093,145,1151,0.4,10,74,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
34,power_mcmc,1,7,7,1.7536362890095916,84,84,0.0,0,75,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
35,power_mcmc,1,3,3,74.70314825201058,168,1272,0.5,10,76,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
36,power_mcmc,1,1,1,82.04759456998727,248,1395,0.9,10,77,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
37,power_mcmc,1,29,29,80.832113010998,276,1321,0.7,10,78,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
38,power_mcmc,0,7 and -7,7,77.17615004700201,269,1263,0.3,10,79,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
39,power_mcmc,1,6,6,134.66988037400006,136,2063,0.85,20,80,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
40,power_mcmc,1,0.75,0.75,77.9561453799979,366,1334,0.8,10,81,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
41,power_mcmc,0,10,10π,431.6808895879949,476,5490,0.5666666666666667,30,82,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
42,power_mcmc,0,5sqrt(2),5√2,230.3607029249979,396,3320,0.5,20,83,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
43,power_mcmc,1,-5,-5,58.23633359599626,255,987,0.6,10,84,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
44,power_mcmc,1,1/8,1/8,48.502920917002484,198,810,0.6,10,85,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
45,power_mcmc,1,12,12,63.65586953899765,243,1057,0.5,10,86,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
46,power_mcmc,1,1,1,73.67519201499817,226,1191,0.8,10,87,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
47,power_mcmc,1,28,28,163.4080906159943,196,2452,0.85,20,88,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
48,power_mcmc,0,"[0, )","[0,∞)",83.8952592729911,120,1302,0.3,10,89,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
49,power_mcmc,1,-8,-8,72.21518819899939,147,1136,0.5,10,90,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
50,power_mcmc,1,6,6,229.05897423799615,392,3252,0.4,20,91,4.0,192,10,512,Qwen/Qwen2.5-Math-1.5B-Instruct
